ID,Süre,Sayfa Görüntüleme Sayısı,Tıklama Sayısı,Alışveriş Sepeti Sayısı,Satın Alma Oranı
1,30.5,5,3,1,0.45
2,24.6,4,2,0,0.32
3,12.3,2,1,0,0.15
4,16.4,3,2,0,0.22
5,18.2,4,1,1,0.25
6,28.1,6,2,2,0.37
7,19.8,3,0,0,0.18
8,32.6,7,3,1,0.53
9,21.3,4,2,0,0.27
10,14.6,2,0,0,0.12
11,27.4,5,3,1,0.41
12,11.2,1,0,0,0.07
13,9.4,1,1,0,0.05
14,36.2,8,4,2,0.62
15,21.8,4,2,1,0.28
16,17.1,3,0,0,0.20
17,25.6,6,2,2,0.35
18,14.3,2,1,0,0.16
19,7.2,1,0,0,0.03
20,22.5,4,2,1,0.31
21,26.4,6,3,1,0.47
22,18.7,3,1,0,0.23
23,19.1,4,2,0,0.29
24,13.8,2,0,0,0.14
25,23.4,5,3,1,0.42
26,28.7,7,4,2,0.58
27,15.6,2,1,0,0.18
28,20.2,4,2,1,0.26
29,24.8,5,3,1,0.44
30,29.1,6,3,2,0.52
31,12.7,2,0,0,0.09
32,10.3,1,0,0,0.06
33,26.5,5,2,2,0.36
34,21.6,4,2,1,0.30
35,16.5,3,1,0,0.21
36,33.5,7,4,2,0.59
37,14.1,2,1,0,0.13
38,11.8,1,0,0,0.08
39,18.4,3,1,1,0.22
40,22.3,5,3,1,0.39
41,19.6,4,2,0,0.27
42,28.8,6,3,2,0.47
43,25.2,5,2,1,0.36
44,20.5,4,1,0,0.24
45,15.7,2,0,0,0.17
46,29.9,6,3,2,0.50
47,17.3,3,1,0,0.19
48,21.1,4,2,0,0.28
49,24.1,5,2,1,0.38
50,11.9,1,0,0,0.10
51,22.7,5,2,1,0.34
52,18.9,3,1,0,0.21
53,26.7,6,3,2,0.44
54,13.6,2,0,0,0.12
55,31.2,7,4,2,0.64
56,19.2,3,1,0,0.20
57,23.7,5,2,1,0.37
58,16.7,2,1,0,0.16
59,29.4,6,3,2,0.49
60,10.2,1,0,0,0.05
61,21.4,4,2,0,0.27
62,25.9,5,2,1,0.40
63,18.6,3,1,0,0.22
64,20.9,4,1,0,0.27
65,28.6,6,3,2,0.46
66,23.5,5,2,1,0.36
67,19.3,3,1,0,0.19
68,27.2,6,2,2,0.42
69,14.9,2,0,0,0.14
70,31.8,7,4,2,0.66
71,20.3,4,2,0,0.26
72,17.8,3,1,0,0.18
73,25.1,5,2,1,0.37
74,21.9,4,2,0,0.29
75,15.2,2,1,0,0.15
76,30.4,6,3,2,0.48
77,13.4,2,0,0,0.11
78,10.8,1,0,0,0.06
79,18.8,3,1,0,0.22
80,22.8,5,2,1,0.33
81,26.1,6,3,1,0.45
82,19.7,4,1,0,0.25
83,23.2,5,2,1,0.37
84,16.8,3,1,0,0.19
85,27.5,6,2,2,0.40
86,11.3,1,0,0,0.08
87,21.5,4,2,0,0.27
88,25.8,5,2,1,0.39
89,19.4,3,1,0,0.22
90,20.8,4,1,0,0.27
91,29.8,7,4,2,0.61
92,22.5,5,2,1,0.34
93,18.3,3,1,0,0.19
94,26.5,6,2,2,0.41
95,14.5,2,0,0,0.13
96,31.4,7,4,2,0.67
97,20.2,4,1,0,0.26
98,23.3,5,2,1,0.36
99,16.9,3,1,0,0.19
100,28.4,6,3,2,0.46

